device_type,time_category,day_of_week
Mobile,Business Hours,Monday
Desktop,Business Hours,Monday
Mobile,Business Hours,Wednesday
Desktop,Business Hours,Sunday
Desktop,Night,Monday
Mobile,Night,Wednesday
Desktop,Business Hours,Monday
Desktop,Business Hours,Thursday
Desktop,Business Hours,Thursday
Desktop,Business Hours,Monday
Desktop,Business Hours,Friday
Desktop,Business Hours,Sunday
Desktop,Business Hours,Tuesday
Mobile,Business Hours,Monday
Desktop,Business Hours,Thursday
Desktop,Business Hours,Saturday
Desktop,Business Hours,Monday
Tablet,Business Hours,Saturday
Desktop,Business Hours,Friday
Desktop,Business Hours,Wednesday
Desktop,Business Hours,Monday
Mobile,Night,Monday
Mobile,Business Hours,Thursday
Desktop,Business Hours,Thursday
Desktop,Business Hours,Tuesday
Tablet,Business Hours,Monday
Desktop,Night,Saturday
Desktop,Business Hours,Monday
Mobile,Night,Monday
Tablet,Business Hours,Monday
Desktop,Business Hours,Tuesday
Mobile,Business Hours,Tuesday
Desktop,Business Hours,Sunday
Desktop,Night,Friday
Desktop,Business Hours,Friday
Desktop,Business Hours,Thursday
Desktop,Night,Friday
Mobile,Night,Friday
Desktop,Business Hours,Wednesday
Desktop,Business Hours,Saturday
Desktop,Business Hours,Friday
Mobile,Night,Tuesday
Desktop,Business Hours,Tuesday
Desktop,Business Hours,Saturday
Desktop,Business Hours,Monday
Tablet,Business Hours,Sunday
Mobile,Business Hours,Thursday
Desktop,Business Hours,Saturday
Desktop,Business Hours,Wednesday
Desktop,Night,Saturday
Tablet,Night,Tuesday
Mobile,Night,Sunday
Desktop,Night,Thursday
Mobile,Business Hours,Sunday
Desktop,Night,Monday
Mobile,Business Hours,Sunday
Desktop,Night,Sunday
Mobile,Business Hours,Sunday
Desktop,Business Hours,Tuesday
Tablet,Business Hours,Friday
Desktop,Business Hours,Tuesday
Mobile,Business Hours,Saturday
Tablet,Business Hours,Monday
Mobile,Business Hours,Monday
Desktop,Business Hours,Monday
Desktop,Business Hours,Sunday
Mobile,Business Hours,Thursday
Mobile,Business Hours,Tuesday
Desktop,Business Hours,Monday
Desktop,Business Hours,Thursday
Desktop,Business Hours,Wednesday
Mobile,Business Hours,Saturday
Desktop,Business Hours,Monday
Mobile,Business Hours,Sunday
Desktop,Business Hours,Friday
Desktop,Night,Saturday
Desktop,Night,Monday
Mobile,Business Hours,Sunday
Desktop,Business Hours,Saturday
Desktop,Business Hours,Friday
Desktop,Business Hours,Friday
Desktop,Night,Monday
Desktop,Business Hours,Saturday
Desktop,Business Hours,Thursday
Mobile,Business Hours,Wednesday
Desktop,Business Hours,Thursday
Desktop,Night,Saturday
Tablet,Business Hours,Saturday
Mobile,Business Hours,Tuesday
Tablet,Night,Wednesday
Desktop,Business Hours,Friday
Desktop,Night,Monday
Desktop,Night,Thursday
Mobile,Business Hours,Sunday
Desktop,Business Hours,Saturday
Mobile,Business Hours,Monday
Mobile,Business Hours,Tuesday
Desktop,Business Hours,Friday
Desktop,Business Hours,Wednesday
Desktop,Business Hours,Friday
Desktop,Business Hours,Thursday
Desktop,Business Hours,Monday
Desktop,Business Hours,Saturday
Mobile,Business Hours,Wednesday
Mobile,Business Hours,Sunday
Desktop,Business Hours,Monday
Desktop,Night,Sunday
Desktop,Business Hours,Wednesday
Desktop,Business Hours,Friday
Mobile,Business Hours,Wednesday
Desktop,Business Hours,Thursday
Desktop,Business Hours,Monday
Desktop,Business Hours,Wednesday
Desktop,Business Hours,Friday
Desktop,Business Hours,Sunday
Desktop,Business Hours,Monday
Desktop,Business Hours,Sunday
Desktop,Business Hours,Monday
Tablet,Business Hours,Monday
Desktop,Business Hours,Sunday
Desktop,Business Hours,Tuesday
Desktop,Business Hours,Saturday
Tablet,Night,Thursday
Desktop,Business Hours,Monday
Desktop,Business Hours,Tuesday
Mobile,Night,Saturday
Desktop,Business Hours,Tuesday
Mobile,Business Hours,Monday
Desktop,Business Hours,Monday
Desktop,Business Hours,Tuesday
Desktop,Business Hours,Wednesday
Desktop,Business Hours,Sunday
Desktop,Business Hours,Tuesday
Desktop,Business Hours,Saturday
Desktop,Business Hours,Friday
Desktop,Business Hours,Wednesday
Desktop,Night,Thursday
Desktop,Night,Friday
Desktop,Business Hours,Tuesday
Desktop,Business Hours,Wednesday
Desktop,Business Hours,Monday
Desktop,Business Hours,Monday
Mobile,Business Hours,Monday
Desktop,Business Hours,Tuesday
Desktop,Night,Wednesday
Mobile,Business Hours,Wednesday
Desktop,Business Hours,Monday
Desktop,Business Hours,Wednesday
Desktop,Business Hours,Tuesday
Desktop,Business Hours,Wednesday
Desktop,Business Hours,Tuesday
Mobile,Business Hours,Wednesday
Desktop,Business Hours,Wednesday
Desktop,Business Hours,Saturday
Desktop,Business Hours,Sunday
Mobile,Night,Monday
Mobile,Business Hours,Thursday
Desktop,Business Hours,Friday
Mobile,Business Hours,Friday
Desktop,Business Hours,Tuesday
Tablet,Night,Thursday
Mobile,Business Hours,Monday
Desktop,Business Hours,Tuesday
Desktop,Business Hours,Saturday
Mobile,Business Hours,Monday
Tablet,Business Hours,Monday
Mobile,Business Hours,Saturday
Mobile,Business Hours,Monday
Desktop,Business Hours,Friday
Desktop,Night,Monday
Mobile,Business Hours,Monday
Desktop,Night,Saturday
Mobile,Business Hours,Friday
Desktop,Business Hours,Thursday
Desktop,Business Hours,Monday
Desktop,Business Hours,Friday
Mobile,Business Hours,Sunday
Desktop,Business Hours,Tuesday
Mobile,Business Hours,Friday
Mobile,Night,Saturday
Desktop,Business Hours,Saturday
Mobile,Business Hours,Monday
Mobile,Business Hours,Saturday
Desktop,Business Hours,Tuesday
Mobile,Business Hours,Wednesday
Desktop,Business Hours,Friday
Mobile,Business Hours,Wednesday
Desktop,Business Hours,Thursday
Desktop,Business Hours,Saturday
Mobile,Business Hours,Tuesday
Desktop,Business Hours,Wednesday
Desktop,Night,Sunday
Desktop,Business Hours,Saturday
Desktop,Business Hours,Wednesday
Desktop,Business Hours,Saturday
Mobile,Night,Friday
Mobile,Business Hours,Friday
Tablet,Business Hours,Wednesday
Desktop,Night,Wednesday
Desktop,Business Hours,Saturday
Desktop,Business Hours,Thursday
Desktop,Business Hours,Saturday
Desktop,Business Hours,Sunday
Desktop,Business Hours,Thursday
Desktop,Business Hours,Wednesday
Desktop,Night,Monday
Desktop,Business Hours,Thursday
Desktop,Night,Monday
Mobile,Night,Tuesday
Mobile,Business Hours,Wednesday
Desktop,Business Hours,Tuesday
Desktop,Business Hours,Sunday
Tablet,Business Hours,Saturday
Desktop,Business Hours,Friday
Desktop,Night,Friday
Desktop,Business Hours,Wednesday
Mobile,Business Hours,Wednesday
Desktop,Night,Friday
Desktop,Business Hours,Monday
Desktop,Business Hours,Friday
Desktop,Business Hours,Wednesday
Desktop,Night,Friday
Desktop,Business Hours,Tuesday
Mobile,Night,Saturday
Desktop,Business Hours,Friday
Desktop,Business Hours,Wednesday
Desktop,Business Hours,Tuesday
Mobile,Business Hours,Sunday
Desktop,Business Hours,Saturday
Desktop,Business Hours,Friday
Desktop,Business Hours,Tuesday
Desktop,Business Hours,Friday
Mobile,Night,Thursday
Mobile,Business Hours,Saturday
Desktop,Business Hours,Monday
Desktop,Business Hours,Thursday
Desktop,Business Hours,Saturday
Tablet,Business Hours,Friday
Desktop,Business Hours,Sunday
Mobile,Business Hours,Tuesday
Mobile,Business Hours,Thursday
Mobile,Business Hours,Tuesday
Desktop,Business Hours,Sunday
Tablet,Night,Monday
Desktop,Night,Tuesday
Desktop,Business Hours,Thursday
Tablet,Business Hours,Monday
Desktop,Business Hours,Thursday
Desktop,Business Hours,Friday
Mobile,Business Hours,Thursday
Desktop,Night,Tuesday
Desktop,Night,Wednesday
Mobile,Business Hours,Saturday
Desktop,Night,Friday
Desktop,Business Hours,Friday
Tablet,Night,Sunday
Mobile,Business Hours,Friday
Mobile,Business Hours,Thursday
Mobile,Business Hours,Monday
Desktop,Business Hours,Tuesday
Desktop,Business Hours,Monday
Desktop,Business Hours,Thursday
Desktop,Business Hours,Wednesday
Desktop,Night,Sunday
Desktop,Business Hours,Wednesday
Mobile,Business Hours,Monday
Desktop,Business Hours,Tuesday
Mobile,Business Hours,Monday
Mobile,Business Hours,Sunday
Desktop,Business Hours,Tuesday
Mobile,Night,Tuesday
Desktop,Business Hours,Tuesday
Mobile,Business Hours,Saturday
Desktop,Business Hours,Wednesday
Desktop,Business Hours,Sunday
Desktop,Business Hours,Friday
Mobile,Night,Wednesday
Mobile,Business Hours,Monday
Desktop,Business Hours,Friday
Mobile,Business Hours,Friday
Mobile,Business Hours,Friday
Desktop,Business Hours,Tuesday
Desktop,Business Hours,Saturday
Desktop,Night,Wednesday
Desktop,Business Hours,Saturday
Desktop,Business Hours,Wednesday
Mobile,Business Hours,Sunday
Mobile,Business Hours,Friday
Mobile,Business Hours,Tuesday
Desktop,Business Hours,Tuesday
Desktop,Business Hours,Friday
Desktop,Business Hours,Tuesday
Mobile,Night,Sunday
Desktop,Business Hours,Monday
Desktop,Business Hours,Monday
Desktop,Business Hours,Tuesday
Tablet,Business Hours,Sunday
Desktop,Night,Tuesday
Desktop,Night,Tuesday
Desktop,Business Hours,Monday
Mobile,Business Hours,Tuesday
Desktop,Business Hours,Wednesday
Desktop,Night,Sunday
Desktop,Business Hours,Wednesday
Desktop,Night,Tuesday
Desktop,Night,Thursday
Desktop,Business Hours,Wednesday
Mobile,Night,Sunday
Desktop,Business Hours,Thursday
Desktop,Night,Wednesday
Tablet,Business Hours,Sunday
Mobile,Business Hours,Sunday
Tablet,Business Hours,Saturday
Mobile,Business Hours,Sunday
Desktop,Business Hours,Sunday
Mobile,Business Hours,Friday
Mobile,Business Hours,Sunday
Desktop,Night,Friday
Mobile,Business Hours,Thursday
Mobile,Business Hours,Saturday
Desktop,Business Hours,Wednesday
Desktop,Business Hours,Wednesday
Desktop,Night,Sunday
Desktop,Business Hours,Tuesday
Desktop,Night,Thursday
Desktop,Business Hours,Saturday
Desktop,Business Hours,Monday
Tablet,Business Hours,Friday
Mobile,Business Hours,Thursday
Desktop,Business Hours,Monday
Desktop,Business Hours,Friday
Desktop,Business Hours,Wednesday
Desktop,Business Hours,Friday
Desktop,Business Hours,Thursday
Tablet,Business Hours,Friday
Desktop,Business Hours,Wednesday
Desktop,Business Hours,Sunday
Desktop,Business Hours,Thursday
Mobile,Business Hours,Thursday
Desktop,Business Hours,Sunday
Desktop,Business Hours,Tuesday
Mobile,Business Hours,Monday
Desktop,Night,Saturday
Desktop,Business Hours,Tuesday
Desktop,Business Hours,Sunday
Mobile,Business Hours,Sunday
Desktop,Business Hours,Monday
Desktop,Night,Monday
Mobile,Business Hours,Tuesday
Desktop,Night,Saturday
Desktop,Business Hours,Saturday
Mobile,Business Hours,Wednesday
Desktop,Night,Thursday
